,title,movieId
0,功夫,1
1,Harry Potter and the Prisoner of Azkaban,2
2,Big Fish,3
3,霸王别姬,4
4,Dead Poets Society,5
5,Les choristes,6
6,天下无贼,7
7,The Lord of the Rings: The Return of the King,8
8,Mùi Đu Đủ Xanh - L'odeur de papaye verte,9
9,The Phantom of the Opera,10
10,2046,11
11,Ностальгия,12
12,花样年华,13
13,Al di là delle nuvole,14
14,Les amants du Pont-Neuf,15
15,となりのトトロ,16
16,千と千尋の神隠し,17
17,Dancer in the Dark,18
18,Ten Minutes Older: The Trumpet,19
19,Ten Minutes Older: The Cello,20
20,Les triplettes de Belleville,21
21,イノセンス,22
22,東京物語,23
23,Metoroporisu,24
24,The Lord of the Rings: The Fellowship of the Ring,25
25,The Lord of the Rings: The Two Towers,26
26,A Bug's Life,27
27,Toy Story 2,28
28,Toy Story,29
29,スチームボーイ,30
30,The Incredibles,31
31,Ice Age,32
32,"Monsters, Inc.",33
33,Kill Bill: Vol. 1,34
34,Shrek,35
35,Shrek 2,36
36,天空の城ラピュタ,37
37,Kill Bill: Vol. 2,38
38,風の谷のナウシカ,39
39,Finding Nemo,40
40,The Prince of Egypt,41
41,おもひでぽろぽろ,42
42,饮食男女,43
43,Hotel Rwanda,44
44,Black Hawk Down,46
45,Nuovo cinema Paradiso,47
46,La meglio gioventù,50
47,Pulp Fiction,51
48,Sideways,52
49,Lost in Translation,54
50,Girl with a Pearl Earring,55
51,紅の豚,56
52,Blade Runner,57
53,Out of Africa,58
54,The Godfather,59
55,When Harry Met Sally...,60
56,The Matrix,61
57,Terminator 2: Judgment Day,62
58,十七岁的单车,65
59,任逍遥,66
60,站台,68
61,小武,69
62,Frida,70
63,The English Patient,71
64,The Dreamers,74
65,Buena Vista Social Club,75
66,鬼子来了,76
67,The Unbearable Lightness of Being,77
68,瓦尔特保卫萨拉热窝,78
69,人間の証明,79
70,君よ憤怒の河を渉れ,81
71,L'amant,86
72,Basic Instinct,87
73,Rain Man,88
74,Tess,90
75,Nine 1/2 Weeks,91
76,阳光灿烂的日子,93
77,黄土地,94
78,La double vie de Véronique,95
