,movieId,title,genres,plot
0,1,Toy Story (1995),Animation|Children's|Comedy,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
1,2,Jumanji (1995),Adventure|Children's|Fantasy,"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game."
2,3,Grumpier Old Men (1995),Comedy|Romance,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention."
3,5,Father of the Bride Part II (1995),Comedy,"George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife."
4,6,Heat (1995),Action|Crime|Thriller,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
5,7,Sabrina (1995),Comedy|Romance,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it."
6,10,GoldenEye (1995),Action|Adventure|Thriller,"Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as ""GoldenEye"" is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon."
7,11,"American President, The (1995)",Comedy|Drama|Romance,"A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway."
8,14,Nixon (1995),Drama,"A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame."
9,16,Casino (1995),Drama|Thriller,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite."
10,17,Sense and Sensibility (1995),Drama|Romance,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites."
11,18,Four Rooms (1995),Thriller,Four interlocking tales that take place in a fading hotel on New Year's Eve.
12,19,Ace Ventura: When Nature Calls (1995),Comedy,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa."
13,21,Get Shorty (1995),Action|Comedy|Drama,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job."
14,22,Copycat (1995),Crime|Drama|Thriller,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
15,24,Powder (1995),Drama|Sci-Fi,An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.
