,movieId,title,genres
0,417,A Trip to the Moon,Short|Action|Adventure|Comedy|Fantasy|Sci-Fi
1,12349,The Kid,Comedy|Drama|Family
2,13442,Nosferatu,Fantasy|Horror
3,15324,Sherlock Jr.,Action|Comedy|Romance
4,15864,The Gold Rush,Adventure|Comedy|Drama|Family
5,17136,Metropolis,Drama|Sci-Fi
6,17925,The General,Action|Adventure|Comedy|Drama|War|Western
7,18455,Sunrise: A Song of Two Humans,Drama|Romance
8,19254,La passion de Jeanne d'Arc,Biography|Drama|History
9,20629,All Quiet on the Western Front,Drama|War
10,21749,City Lights,Comedy|Drama|Romance
11,21884,Frankenstein,Drama|Horror|Sci-Fi
12,22100,M - Eine Stadt sucht einen Mörder,Crime|Mystery|Thriller
13,24216,King Kong,Adventure|Horror|Sci-Fi
14,25316,It Happened One Night,Comedy|Romance
15,27977,Modern Times,Comedy|Drama|Family|Romance
16,29583,Snow White and the Seven Dwarfs,Animation|Family|Fantasy|Musical|Romance
17,30341,The Lady Vanishes,Mystery|Thriller
18,31381,Gone with the Wind,Drama|History|Romance|War
19,31679,Mr. Smith Goes to Washington,Comedy|Drama
20,32138,The Wizard of Oz,Adventure|Family|Fantasy|Musical
21,32551,The Grapes of Wrath,Drama|History
22,32553,The Great Dictator,Comedy|Drama|War
23,32976,Rebecca,Drama|Mystery|Romance|Thriller
24,33467,Citizen Kane,Drama|Mystery
25,33563,Dumbo,Animation|Drama|Family|Musical
26,33870,The Maltese Falcon,Film-Noir|Mystery
27,34583,Casablanca,Drama|Romance|War
28,35446,To Be or Not to Be,Comedy|War
29,36775,Double Indemnity,Crime|Drama|Film-Noir|Mystery|Thriller
30,37008,Laura,Drama|Film-Noir|Mystery
31,37558,Brief Encounter,Drama|Romance
32,37884,The Lost Weekend,Drama|Film-Noir
33,38355,The Big Sleep,Crime|Film-Noir|Mystery|Thriller
34,38650,It's a Wonderful Life,Drama|Family|Fantasy
35,38733,A Matter of Life and Death,Comedy|Drama|Fantasy|Romance|War
36,38787,Notorious,Drama|Film-Noir|Romance|Thriller
37,40522,Ladri di biciclette,Drama
38,40725,The Red Shoes,Drama|Music|Romance
39,40746,Rope,Crime|Drama|Mystery|Thriller
40,40897,The Treasure of the Sierra Madre,Adventure|Drama|Western
41,41959,The Third Man,Film-Noir|Mystery|Thriller
42,42192,All About Eve,Drama
43,42546,Harvey,Comedy|Drama|Fantasy
44,42876,Rashômon,Crime|Drama|Mystery
45,43014,Sunset Blvd.,Drama|Film-Noir
46,43456,The Day the Earth Stood Still,Drama|Sci-Fi
47,44079,Strangers on a Train,Crime|Film-Noir|Thriller
48,44081,A Streetcar Named Desire,Drama
49,44706,High Noon,Action|Drama|Thriller|Western
50,44741,Ikiru,Drama
51,45152,Singin' in the Rain,Comedy|Musical|Romance
52,46250,Roman Holiday,Comedy|Romance
53,46438,Tôkyô monogatari,Drama
54,46911,Les diaboliques,Crime|Drama|Horror|Mystery|Thriller
55,46912,Dial M for Murder,Crime|Thriller
56,47296,On the Waterfront,Crime|Drama|Thriller
57,47396,Rear Window,Mystery|Thriller
58,47437,Sabrina,Comedy|Drama|Romance
59,47478,Shichinin no samurai,Adventure|Drama
60,47528,La Strada,Drama
61,48021,Du rififi chez les hommes,Crime|Thriller
62,48424,The Night of the Hunter,Crime|Drama|Film-Noir|Thriller
63,48434,Nuit et brouillard,Documentary|Short|History|War
64,48452,Ordet,Drama|Fantasy
65,48473,Pather Panchali,Drama
66,48545,Rebel Without a Cause,Drama
67,49223,Forbidden Planet,Action|Adventure|Sci-Fi|Thriller
68,49406,The Killing,Crime|Drama|Film-Noir|Thriller
69,49730,The Searchers,Adventure|Drama|Western
70,49833,The Ten Commandments,Adventure|Drama
71,50083,12 Angry Men,Crime|Drama
72,50212,The Bridge on the River Kwai,Adventure|Drama|War
73,50613,Kumonosu-jô,Drama
74,50783,Le notti di Cabiria,Drama
75,50825,Paths of Glory,Drama|War
76,50976,Det sjunde inseglet,Drama|Fantasy
77,50986,Smultronstället,Drama|Romance
78,51036,Sweet Smell of Success,Drama|Film-Noir
79,51201,Witness for the Prosecution,Crime|Drama|Mystery|Thriller
80,51378,Ascenseur pour l'échafaud,Crime|Drama|Thriller
81,51459,Cat on a Hot Tin Roof,Drama
82,52311,Touch of Evil,Crime|Drama|Film-Noir|Thriller
83,52357,Vertigo,Mystery|Romance|Thriller
84,52561,Anatomy of a Murder,Crime|Drama|Mystery|Thriller
85,52618,Ben-Hur,Adventure|Drama|History
86,52893,Hiroshima mon amour,Drama|Romance
87,53125,North by Northwest,Adventure|Mystery|Thriller
88,53198,Les quatre cents coups,Crime|Drama
89,53291,Some Like It Hot,Comedy|Music|Romance
90,53472,À bout de souffle,Crime|Drama
91,53604,The Apartment,Comedy|Drama|Romance
92,53779,La dolce vita,Comedy|Drama
93,53946,Inherit the Wind,Biography|Drama|History
94,53976,Jungfrukällan,Drama
95,54215,Psycho,Horror|Mystery|Thriller
96,54331,Spartacus,Adventure|Biography|Drama|History|War
97,54407,Le trou,Crime|Drama|Thriller
98,54698,Breakfast at Tiffany's,Comedy|Drama|Romance
99,54997,The Hustler,Drama|Sport
100,55031,Judgment at Nuremberg,Drama|War
101,55499,Såsom i en spegel,Drama
102,55630,Yôjinbô,Action|Drama|Thriller
103,55928,Dr. No,Action|Adventure|Thriller
